Name,Salary,Owner,ADP,Rank,Age,Position
Sammy Watkins,"$7,250,000",Arizona Wranglers,12.67,12,21,WR
Reggie Wayne,"$250,000",Calgary Cowboys,241.0,270,36,WR
Wes Welker,"$250,000",San Antonio Bandits,211.0,203,33,WR
Terrance West,"$1,300,000",Charlotte Flyers,86.5,85,23,RB
Markus Wheaton,"$500,000",Pittsburgh Maulers,127.0,122,23,WR
Roddy White,"$1,500,000",Charlotte Flyers,127.67,124,33,WR
Andre Williams,"$1,050,000",Pittsburgh Maulers,108.17,109,22,RB
DeAngelo Williams,"$250,000",Oklahoma City Outlaws,235.0,241,31,RB
Kerwynn Williams,"$250,000",i,,,,
Ryan Williams,"$250,000",Cleveland Rams,,,,
Terrance Williams,"$1,050,000",Sharks,96.33,96,25,WR
Luke Willson,"$350,000",San Diego Blazers,207.67,200,24,TE
Albert Wilson,"$250,000",Seattle Thunder,159.67,158,22,WR
Marquess Wilson,"$500,000",Arizona Wranglers,115.5,113,22,WR
Russell Wilson,"$4,559,230",Cleveland Rams,42.5,41,26,QB
Jason Witten,"$450,000",b style,137.17,138,32,TE
Danny Woodhead,"$250,000",Sharks,213.67,210,29,RB
Robert Woods,"$700,000",Seattle Thunder,128.17,125,22,WR
Kendall Wright,"$1,950,000",Invaders,73.5,69,25,WR
Tim Wright,"$350,000",i,183.83,178,24,TE
